Original name of the product,Product category,amount,unit price,currency,price including taxes,tax rate (%),country,date,source,tender ref,note,description_EN,unit_price_eur,spent
Face Safety Shield ,FACE SHIELD,10.0,16.8,EUR,,,Austria,2020-05-27,LFUW.csv,AT0354,Stück,Face Safety Shield ,16.8,168.0
Reinigungs-/Desinfektionstücher,DISINFECTING WIPES,4.0,2.99,EUR,,,Austria,2020-05-15,LFUW.csv,AT0355,Packungen,Cleaning / disinfection wipes,2.99,11.96
Reinigungs-/Desinfektionstücher,DISINFECTING WIPES,5.0,2.95,EUR,,,Austria,2020-05-15,LFUW.csv,AT0356,Packungen,Cleaning / disinfection wipes,2.95,14.75
Snacks für Zivildienst Hotline,OTHER: NON MEDICAL,5.0,6.946000000000001,EUR,,,Austria,2020-04-15,LFUW.csv,AT0357,Packungen,Snacks for community service hotline,6.946000000000001,34.730000000000004
Snacks für Zivildienst Hotline,OTHER: NON MEDICAL,3.0,7.77,EUR,,,Austria,2020-04-03,LFUW.csv,AT0358,Packungen,Snacks for community service hotline,7.77,23.31
Snacks für Zivildienst Hotline,OTHER: NON MEDICAL,10.0,6.488,EUR,,,Austria,2020-03-27,LFUW.csv,AT0359,Packungen,Snacks for community service hotline,6.488,64.88000000000001
Desinfektionstücher,DISINFECTING WIPES,9.0,2.99,EUR,,,Austria,2020-03-16,LFUW.csv,AT0360,Packungen,Disinfectant wipes,2.99,26.910000000000004
Desinfektionshandgel,HAND SANITIZER,60.0,0.08166666666666668,EUR,,,Austria,2020-03-16,LFUW.csv,AT0361,ml,Disinfectant hand gel,0.08166666666666668,4.9
Desinfektionstücher,DISINFECTING WIPES,2.0,2.99,EUR,,,Austria,2020-03-17,LFUW.csv,AT0362,Packungen,Disinfectant wipes,2.99,5.98
Desinfektionshandgel,HAND SANITIZER,100.0,0.0278,EUR,,,Austria,2020-03-17,LFUW.csv,AT0363,ml,Disinfectant hand gel,0.0278,2.78
Desinfektionstücher,DISINFECTING WIPES,2.0,0.95,EUR,,,Austria,2020-03-17,LFUW.csv,AT0364,Packungen,Disinfectant wipes,0.95,1.9
Desinfektionshandgel,HAND SANITIZER,60.0,0.08166666666666668,EUR,,,Austria,2020-03-17,LFUW.csv,AT0365,ml,Disinfectant hand gel,0.08166666666666668,4.9
Desinfektionstücher,DISINFECTING WIPES,2.0,2.99,EUR,,,Austria,2020-03-17,LFUW.csv,AT0366,Packungen,Disinfectant wipes,2.99,5.98
Desinfektionstücher,DISINFECTING WIPES,2.0,0.95,EUR,,,Austria,2020-03-17,LFUW.csv,AT0367,Packungen,Disinfectant wipes,0.95,1.9
Desinfektionshandgel,HAND SANITIZER,60.0,0.08166666666666668,EUR,,,Austria,2020-03-17,LFUW.csv,AT0368,ml,Disinfectant hand gel,0.08166666666666668,4.9
Desinfektionshandgel,HAND SANITIZER,100.0,0.0278,EUR,,,Austria,2020-03-17,LFUW.csv,AT0369,ml,Disinfectant hand gel,0.0278,2.78
Desinfektionshandgel,HAND SANITIZER,90.0,0.08166666666666668,EUR,,,Austria,2020-03-18,LFUW.csv,AT0370,ml,Disinfectant hand gel,0.08166666666666668,7.350000000000001
Desinfektion-Hygienereiniger,DISINFECTANTS,4.0,2.95,EUR,,,Austria,2020-03-18,LFUW.csv,AT0371,Packungen,Disinfection hygiene cleaner,2.95,11.8
Desinfektionstücher,DISINFECTING WIPES,10.0,1.55,EUR,,,Austria,2020-03-27,LFUW.csv,AT0372,Packungen,Disinfectant wipes,1.55,15.5
Desinfektionstücher,DISINFECTING WIPES,6.0,2.99,EUR,,,Austria,2020-03-19,LFUW.csv,AT0373,Packungen,Disinfectant wipes,2.99,17.94
Oberflächendesinfektionsmittel,DISINFECTANTS,2250.0,0.002386666666666667,EUR,,,Austria,2020-03-19,LFUW.csv,AT0374,ml,Surface disinfectant,0.002386666666666667,5.370000000000001
Desinfektionstücher,DISINFECTING WIPES,2.0,0.95,EUR,,,Austria,2020-03-19,LFUW.csv,AT0375,Packungen,Disinfectant wipes,0.95,1.9
Oberflächendesinfektionsmittel,DISINFECTANTS,500.0,0.025960000000000004,EUR,,,Austria,2020-03-19,LFUW.csv,AT0376,ml,Surface disinfectant,0.025960000000000004,12.980000000000002
Handantiseptikum,HAND SANITIZER,1000.0,0.00938,EUR,,,Austria,2020-03-19,LFUW.csv,AT0377,ml,Handantiseptikum,0.00938,9.379999999999999
Universalspender - Desinfektion,DISINFECTANTS,10.0,85.30799999999999,EUR,,,Austria,2020-03-23,LFUW.csv,AT0378,Stück,Universal dispenser - disinfection,85.30799999999999,853.0799999999999
Abdeckbare Desinfektionsspender,DISINFECTANTS,10.0,41.76000000000001,EUR,,,Austria,2020-03-23,LFUW.csv,AT0379,Stück,Coverable disinfectant dispenser,41.76000000000001,417.60000000000014
Dosierpumpe Desinfektionsmittelkanister,DISINFECTANTS,2.0,27.85,EUR,,,Austria,2020-04-09,LFUW.csv,AT0380,Stück,Dosing pump disinfectant canister,27.85,55.7
Desinfektionstücher,DISINFECTING WIPES,16.0,0.95,EUR,,,Austria,2020-04-11,LFUW.csv,AT0381,Packungen,Disinfectant wipes,0.95,15.2
Leerflaschen für Desinfetkionsmittel ,DISINFECTANTS,16.0,1.425,EUR,,,Austria,2020-04-11,LFUW.csv,AT0382,Packungen,Empty bottles for disinfectants,1.425,22.8
Mund-Nasen-Maske Universal,MASK (UNSPECIFIED),3000.0,1.1423333333333334,EUR,,,Austria,2020-04-22,LFUW.csv,AT0383,Stück,Mouth-nose-mask Universal,1.1423333333333334,3427.0000000000005
Mund-Nasen-Maske Universal,MASK (UNSPECIFIED),1000.0,0.72,EUR,,,Austria,2020-04-10,LFUW.csv,AT0384,Stück,Mouth-nose-mask Universal,0.72,720.0
Mund-Nasen-Maske Universal,MASK (UNSPECIFIED),3000.0,0.65,EUR,,,Austria,2020-04-27,LFUW.csv,AT0385,Stück,Mouth-nose-mask Universal,0.65,1950.0
Händedesinfektionsmittel,DISINFECTANTS,16000.0,0.027600000000000003,EUR,,,Austria,2020-04-21,LFUW.csv,AT0386,ml,Hand disinfectant,0.027600000000000003,441.6
Händedesinfektionsmittel,DISINFECTANTS,40000.0,0.01806,EUR,,,Austria,2020-04-21,LFUW.csv,AT0387,ml,Hand disinfectant,0.01806,722.4
Thekenschutz/Spuckschutz,OTHER: NON MEDICAL,7.0,175.8857142857143,EUR,,,Austria,2020-04-14,LFUW.csv,AT0388,Stück,Counter protection / spit protection,175.8857142857143,1231.2
Desinfektionstücher,DISINFECTING WIPES,20.0,2.29,EUR,,,Austria,2020-05-15,LFUW.csv,AT0389,Packungen,Disinfectant wipes,2.29,45.8
Thekenschutz/Spuckschutz,OTHER: NON MEDICAL,4.0,150.0,EUR,,,Austria,2020-04-27,LFUW.csv,AT0390,Stück,Counter protection / spit protection,150.0,600.0
Gesichtsschutzschild inkl. Ersatz,FACE SHIELD,32.0,30.0,EUR,,,Austria,2020-05-18,LFUW.csv,AT0391,Stück,Face shield including replacement,30.0,960.0
Leerflaschen inkl. Zerstäuber,OTHER: NON MEDICAL,50.0,2.05,EUR,,,Austria,2020-04-20,LFUW.csv,AT0392,Stück,Empty bottles including atomizers,2.05,102.49999999999999
Desinfektionsmittel ,DISINFECTANTS,20000.0,0.0138,EUR,,,Austria,2020-05-29,LFUW.csv,AT0393,ml,Disinfectant,0.0138,276.0
Augenschild-Gesichtsschutz,FACE SHIELD,100.0,10.392,EUR,,,Austria,2020-06-02,LFUW.csv,AT0394,Stück,Eye shield face protection,10.392,1039.2
Fieberthermometer,THERMOMETER,3.0,54.0,EUR,,,Austria,,LFUW.csv,AT0395,Stück,Medical thermometer,54.0,162.0
Schnelldesinfektionsmittel,DISINFECTANTS,15000.0,0.011376,EUR,,,Austria,,LFUW.csv,AT0396,ml,Quick disinfectant,0.011376,170.64000000000001
Schnelldesinfektionstücher,DISINFECTING WIPES,18.0,7.406111111111111,EUR,,,Austria,2020-06-02,LFUW.csv,AT0397,Packungen,Quick disinfectant wipes,7.406111111111111,133.31
Mund-Nasen-Schutmasken Textil,MASK (UNSPECIFIED),1000.0,3.5,EUR,,,Austria,,LFUW.csv,AT0398,Stück,Mouth-nose protective masks textile,3.5,3500.0
Desinfektion - Universalspender-Blende,DISINFECTANTS,10.0,41.76000000000001,EUR,,,Austria,,LFUW.csv,AT0399,Stück,Disinfection - universal dispenser cover,41.76000000000001,417.60000000000014
Desinfektion - Universalspender,DISINFECTANTS,10.0,85.30799999999999,EUR,,,Austria,,LFUW.csv,AT0400,Stück,Disinfection - universal dispenser,85.30799999999999,853.0799999999999
"Domains (8 variations of wirzählenaufeuch.at, 2 variations of dielebensmittelhelfer.at and zivis.at between 19-03 and 14-04)",OTHER: NON MEDICAL,1.0,792.0,EUR,,,Austria,2020-04-14,LFUW.csv,AT0401,Stück,"Domains (8 variations of wirzählenaufeuch.at, 2 variations of dielebensmittelhelfer.at and zivis.at between 19-03 and 14-04)",792.0,792.0
Domain names (3 variations on sicheregastfreunschaft.at and 8 variatons of oesterreichkauftregional.at),OTHER: NON MEDICAL,1.0,792.0,EUR,,,Austria,2020-04-23,LFUW.csv,AT0402,Stück,Domain names (3 variations on sicheregastfreunschaft.at and 8 variatons of oesterreichkauftregional.at),792.0,792.0
