supplier,supplier_clean,diff
+Rcre - Engenharia e Consultoria Lda,+rcre - engenharia e consultoria,
07 Media As,07 media,0.20
"1A Medizintechnik,",1 a medizintechnik,0.38
1 A Medizintechnik GmbH,1 a medizintechnik,1.00
1.day s.r.o.,1.day,0.17
"10 - EIN, UNIPESSOAL, LDA (511232799)","10 - ein, unipessoal, lda (511232799)",0.14
"100% Office - Soluções Globais, Lda",100% office - soluções globais,0.33
"1000 Megabytes, Unipessoal Lda","1000 megabytes, unipessoal",0.36
"1000 Opções - Publicidade & Trading, Unipessoal Lda","1000 opções - publicidade & trading, unipessoal",0.52
100Mudar1Vírgula - Lda,100mudar1vírgula -,0.31
10x Genomics,10x genomics,0.20
1st Communications I &amp; M Ltd,1st communications i&m ltd,0.37
1st Communications I&M Ltd,1st communications i&m ltd,1.00
1st Coverall Company Ltd,1st coverall company ltd,0.52
"2 Com Arte - Arquitectura e Construções, Lda",2 com arte - arquitectura e construções,0.19
2020 H S H Ltd,2020 h s h ltd,0.19
2045 - Empresa de Segurança S.A,2045 - empresa de segurança,0.24
"2045-Gália/Serviços de Vigilância e Segurança, A.C.E","2045-gália/serviços de vigilância e segurança, a.c.e",0.48
"ООО ""21 МАНУФАКТУРА""",21 manufaktura,0.18
"22 Grados de Media, Sociedad Limitada","22 grados de media, sociedad limitada",0.16
23 Red,23 red,0.23
"2800 Print, Unipessoal Lda","2800 print, unipessoal",0.29
"ООО ""2Б ПРОЕКТ""",2b proekt,0.32
2P SERVIS s.r.o.,2p servis,0.33
"2Unique View, Lda",2unique view,0.38
3 6 5 - Segurança Privada Lda,3 6 5 - segurança privada,0.11
"ООО ""36,6-ЗДОРОВЬЕ""","36,6-zdorovьe",0.21
360 Assurance,360 assurance,0.31
365 Healthcare,365 healthcare,0.30
365 Healthcare Ltd,365 healthcare,1.00
365JP OÜ,365jp oü,0.36
3D Clean,3d clean,0.25
"3D-Lab, Comunicação e Gestão de Imagem Lda","3d-lab, comunicação e gestão de imagem",0.22
3Dees Industries s.r.o.,3dees industries,0.30
"3Ergostek - Soluções Informáticas, Lda",3ergostek - soluções informáticas,0.41
3M ESPAÑA SL,3m,0.11
3M,3m,1.00
"3M Česko, spol. s r.o.",3m,1.00
"3M Espa A, S.L. . Sucursal Em Portugal",3m,1.00
"3M ESPAÑA, S.L.",3m,1.00
"3M España, S.L.",3m,1.00
3M España S.L.,3m,1.00
3M UK plc,3m,1.00
3M Österreich GmbH,3m,1.00
3M ITALIA SRL,3m,1.00
3M Österrecih GMBH,3m,1.00
3 M Österreich GmbH,3m,1.00
3M Österreich Gesellschaft m.b.H.,3m,1.00
"3M PORTUGAL, LDA                                         (500193940)",3m,1.00
3M România S.R.L.,3m,1.00
3M UK PLC,3m,1.00
3M Health Care Ltd,3m,1.00
3MC SpA,3mc spa,0.44
"3Wd - Informática, Unipessoal Lda","3wd - informática, unipessoal",0.17
"3Xl, Segurança Privada Fernando Marques, Unipessoal Lda","3xl, segurança privada fernando marques, unipessoal",0.40
4 BRANDS SRL,4 brands,0.20
4 Brands S.R.L.,4 brands,1.00
"4 Climas, Serviços e Assistência Técnica, Unipessoal Lda","4 climas, serviços e assistência técnica, unipessoal",0.13
4 Construction Czech s.r.o.,4 construction czech,0.25
"4 Sftis-Soluções Integradas de Segurança, Lda",4 sftis-soluções integradas de segurança,0.23
