ID,date,product,type,title,lot,buyer_country,supplier,price_contract_EUR,price_EUR,price_lot_EUR,supplier_id,supplier_country,supplier_city,supplier_street,supplier_postcode,producer_name,procedure,bids,contract_number,TED_id,price,price_currency,price_lot,source
UK0379,2020-05-01,Covid-19 related construction work,awarded tender,346057000,1,UK,The Newcastle upon Tyne Hospitals NHS Foundation Trust,29716740,391044410,29716740,,UK,Newcastle upon Tyne,"Freeman Hospital, Freeman Road",NE7 7DN,,direct award,1,Nightingale Hospitals,2020/S 121-298177,346057000,GBP,26298000,http://ted.europa.eu/udl?uri=TED:NOTICE:298177-2020:TEXT:EN:HTML
UK0380,2020-04-10,Covid-19 related construction work,awarded tender,346057000,1,UK,Leeds Teaching Hospitals NHS Trust,47180890,391044410,47180890,,UK,Leeds,"St James' Hospital, Beckett Street",LS9 7TF,,direct award,1,Nightingale Hospitals,2020/S 121-298177,346057000,GBP,41753000,http://ted.europa.eu/udl?uri=TED:NOTICE:298177-2020:TEXT:EN:HTML
UK0369,2020-04-23,Covid-19 related construction work,awarded tender,346057000,1,UK,North Bristol NHS Trust,49195680,391044410,49195680,,UK,Westbury-on-Trym,"Southmead Hospital, Southmead Road",BS10 5NB,,direct award,1,Nightingale Hospitals,2020/S 121-298177,346057000,GBP,43536000,http://ted.europa.eu/udl?uri=TED:NOTICE:298177-2020:TEXT:EN:HTML
UK0368,2020-04-12,Covid-19 related construction work,awarded tender,346057000,1,UK,Manchester University NHS Foundation Trust,56120320,391044410,56120320,,UK,Manchester,"Cobbett House, Manchester Royal Infirmary, Oxford Road",M13 9WL,,direct award,1,Nightingale Hospitals,2020/S 121-298177,346057000,GBP,49664000,http://ted.europa.eu/udl?uri=TED:NOTICE:298177-2020:TEXT:EN:HTML
UK0418,2020-04-03,Covid-19 related construction work,awarded tender,346057000,1,UK,Barts Health NHS Trust,63042700,391044410,63042700,,UK,London,"The Royal London Hospital, Whitechapel Road, Whitechapel",E1 1BB,,direct award,1,Nightingale Hospitals,2020/S 121-298177,346057000,GBP,55790000,http://ted.europa.eu/udl?uri=TED:NOTICE:298177-2020:TEXT:EN:HTML
UK0419,2020-04-10,Covid-19 related construction work,awarded tender,346057000,1,UK,University Hospitals Birmingham NHS Foundation Trust,122838910,391044410,122838910,,UK,Birmingham,"Queen Elizabeth Hospital Birmingham, Mindelsohn Way, Edgbaston",B15 2GW,,direct award,1,Nightingale Hospitals,2020/S 121-298177,346057000,GBP,108707000,http://ted.europa.eu/udl?uri=TED:NOTICE:298177-2020:TEXT:EN:HTML
RO1563,2020-01-30,Ventilators,awarded tender,"„Materiale consumabile pentru întreținere și functionare echipamente medicale – acord-cadru 24 de luni” pentru Spitalul Clinic de Obstetrică și Ginecologie „Cuza Vodă”, Iași",13,RO,MEDTRONIC ROMANIA SRL,2842.8,134399.0968,2842.8,,RO,Bucuresti,"Strada sos.bucuresti-ploiesti, Nr. 42-44",31692,,open competition,2,2018,2020/S 073-174295,652422.8,RON,13800,http://ted.europa.eu/udl?uri=TED:NOTICE:174295-2020:TEXT:RO:HTML
RO1566,2020-01-30,Other medical equipment,awarded tender,"„Materiale consumabile pentru întreținere și functionare echipamente medicale – acord-cadru 24 de luni” pentru Spitalul Clinic de Obstetrică și Ginecologie „Cuza Vodă”, Iași",13,RO,MEDTRONIC ROMANIA SRL,9239.1,134399.0968,9239.1,,RO,Bucuresti,"Strada sos.bucuresti-ploiesti, Nr. 42-44",31692,,open competition,2,2018,2020/S 073-174295,652422.8,RON,44850,http://ted.europa.eu/udl?uri=TED:NOTICE:174295-2020:TEXT:RO:HTML
RO1545,2020-01-30,Ventilators,awarded tender,"„Materiale consumabile pentru întreținere și funcționare echipamente medicale – acord-cadru 24 de luni” pentru Spitalul Clinic de Obstetrică și Ginecologie „Cuza Voda”, Iași",13,RO,MEDTRONIC ROMANIA SRL,2842.8,141897.4968,2842.8,,RO,Bucuresti,"Strada sos.bucuresti-ploiesti, Nr. 42-44",31692,,open competition,2,2018,2020/S 087-207088,688822.8,RON,13800,http://ted.europa.eu/udl?uri=TED:NOTICE:207088-2020:TEXT:RO:HTML
RO1547,2020-01-30,Other medical equipment,awarded tender,"„Materiale consumabile pentru întreținere și funcționare echipamente medicale – acord-cadru 24 de luni” pentru Spitalul Clinic de Obstetrică și Ginecologie „Cuza Voda”, Iași",13,RO,MEDTRONIC ROMANIA SRL,9239.1,141897.4968,9239.1,,RO,Bucuresti,"Strada sos.bucuresti-ploiesti, Nr. 42-44",31692,,open competition,2,2018,2020/S 087-207088,688822.8,RON,44850,http://ted.europa.eu/udl?uri=TED:NOTICE:207088-2020:TEXT:RO:HTML
RO1644,2020-01-30,Ventilators,awarded tender,"„Materiale consumabile pentru întreținere și funcționare echipamente medicale – acord-cadru 24 de luni” pentru Spitalul Clinic de Obstetrică și Ginecologie „Cuza-Vodă”, Iași",13,RO,MEDTRONIC ROMANIA SRL,2842.8,147397.6968,2842.8,,RO,Bucuresti,"Strada sos.bucuresti-ploiesti, Nr. 42-44",31692,,open competition,2,2018,2020/S 121-295288,715522.8,RON,13800,http://ted.europa.eu/udl?uri=TED:NOTICE:295288-2020:TEXT:RO:HTML
