Original name of the product,Product category,amount,unit price,currency,price including taxes,tax rate (%),country,date,source,tender ref,note,description_EN
Face Safety Shield ,Face shield,10,16.8,EUR,,,Austria,2020-05-27,LFUW.csv,AT0354,Stück,Face Safety Shield 
Reinigungs-/Desinfektionstücher,Disinfecting Wipes,4,2.99,EUR,,,Austria,2020-05-15,LFUW.csv,AT0355,Packungen,Cleaning / disinfection wipes
Reinigungs-/Desinfektionstücher,Disinfecting Wipes,5,2.95,EUR,,,Austria,2020-05-15,LFUW.csv,AT0356,Packungen,Cleaning / disinfection wipes
Snacks für Zivildienst Hotline,Other: non medical,5,6.946,EUR,,,Austria,2020-04-15,LFUW.csv,AT0357,Packungen,Snacks for community service hotline
Snacks für Zivildienst Hotline,Other: non medical,3,7.77,EUR,,,Austria,2020-04-03,LFUW.csv,AT0358,Packungen,Snacks for community service hotline
Snacks für Zivildienst Hotline,Other: non medical,10,6.4879999999999995,EUR,,,Austria,2020-03-27,LFUW.csv,AT0359,Packungen,Snacks for community service hotline
Desinfektionstücher,Disinfecting Wipes,9,2.99,EUR,,,Austria,2020-03-16,LFUW.csv,AT0360,Packungen,Disinfectant wipes
Desinfektionshandgel,Hand sanitizer,60,0.08166666666666668,EUR,,,Austria,2020-03-16,LFUW.csv,AT0361,ml,Disinfectant hand gel
Desinfektionstücher,Disinfecting Wipes,2,2.99,EUR,,,Austria,2020-03-17,LFUW.csv,AT0362,Packungen,Disinfectant wipes
Desinfektionshandgel,Hand sanitizer,100,0.0278,EUR,,,Austria,2020-03-17,LFUW.csv,AT0363,ml,Disinfectant hand gel
Desinfektionstücher,Disinfecting Wipes,2,0.95,EUR,,,Austria,2020-03-17,LFUW.csv,AT0364,Packungen,Disinfectant wipes
Desinfektionshandgel,Hand sanitizer,60,0.08166666666666668,EUR,,,Austria,2020-03-17,LFUW.csv,AT0365,ml,Disinfectant hand gel
Desinfektionstücher,Disinfecting Wipes,2,2.99,EUR,,,Austria,2020-03-17,LFUW.csv,AT0366,Packungen,Disinfectant wipes
Desinfektionstücher,Disinfecting Wipes,2,0.95,EUR,,,Austria,2020-03-17,LFUW.csv,AT0367,Packungen,Disinfectant wipes
Desinfektionshandgel,Hand sanitizer,60,0.08166666666666668,EUR,,,Austria,2020-03-17,LFUW.csv,AT0368,ml,Disinfectant hand gel
Desinfektionshandgel,Hand sanitizer,100,0.0278,EUR,,,Austria,2020-03-17,LFUW.csv,AT0369,ml,Disinfectant hand gel
Desinfektionshandgel,Hand sanitizer,90,0.08166666666666667,EUR,,,Austria,2020-03-18,LFUW.csv,AT0370,ml,Disinfectant hand gel
Desinfektion-Hygienereiniger,Disinfectants,4,2.95,EUR,,,Austria,2020-03-18,LFUW.csv,AT0371,Packungen,Disinfection hygiene cleaner
Desinfektionstücher,Disinfecting Wipes,10,1.55,EUR,,,Austria,2020-03-27,LFUW.csv,AT0372,Packungen,Disinfectant wipes
Desinfektionstücher,Disinfecting Wipes,6,2.99,EUR,,,Austria,2020-03-19,LFUW.csv,AT0373,Packungen,Disinfectant wipes
Oberflächendesinfektionsmittel,Disinfectants,2250,0.0023866666666666667,EUR,,,Austria,2020-03-19,LFUW.csv,AT0374,ml,Surface disinfectant
Desinfektionstücher,Disinfecting Wipes,2,0.95,EUR,,,Austria,2020-03-19,LFUW.csv,AT0375,Packungen,Disinfectant wipes
Oberflächendesinfektionsmittel,Disinfectants,500,0.02596,EUR,,,Austria,2020-03-19,LFUW.csv,AT0376,ml,Surface disinfectant
